Lookup;Reference
3P PERFORMANCE PLASTICS PRODUCTS;3P-Performance Plastics Products
3P PROFIL;APPROFLON
A RAYMOND;ABRACON
A.C.T. / AMPHENOL;AMPHENOL
AA2DE;ADDEV
AB CHIMIE;ABCHIMIE
ABBOTT INTERFAST;INTERFET
ACGS MESURE;MEUSBURGER
ACME / SKIFFY;SKIFFY
ACTIVERT RCSI;GAIA CONVERTER
ACTPRO LIMITED (APX-CRYSTAL);MICRO CRYSTAL
ADDEV MATERIALS / EUROBANDS;FINAL MATERIALS
ADELA;NADELLA
ADHESIF TECHNIQUE INDUSTRIEL;TECHNI INDUSTRIES
ADMOTEC PRECISION AG;TAMPOPRINT AG
ADVANCED SEMICONDUCTOR, INC.;MDE SEMICONDUCTOR INC
AED;ADR
AEDS BD Fixations;FDI Fixations
AEG TELEFUNKEN / VISHAY;TELEFUNKEN
AERO ELECTRIC CONNECT. (CONESYS);DAEWOO ELECTRONIC COMPONENTS CO LTD
AEROSPATIALE MATRA MISSILES;INTERNATIONAL TRANSFORMERS
AEV LIMITED;GACHES CHIMIE
AGFA GEVAERT;GAIA CONVERTER
AGI-CLAL;G-LALO
AGILENT TECHNO./ AVAGO;WALSIN TECHNOLOGY
AGP L'ABRASIENNE;LA CLUSIENNE
AI TEK INSTRUMENTS LLC;TEXAS INSTRUMENTS INC
AIR LB / AMPHENOL;AMPHENOL
AIRBUS FRANCE;FIBRO FRANCE
AIRPAX;UNIFRAX
AKZO NOBEL AEROSPACE COATINGS;SAE AEROSPACE
AKZO NOBEL POWER COATINGS;TEER COATINGS
ALCAN ABRASIFS REFRACTAIRES CERAMIQ;ABC TAIWAN ELECTRONICS CORP
ALCATEL / FCI;ALCATEL
ALLEN BRADLEY;BRADY
ALME;ACME
ALSTHOM IVA;PAULSTRA
ALTERA/INTEL;ALTERA
ALUTRONIC;VALTRONIC
AMANN FRANCE;LANFRANCO
AMATOM;FRAMATOME
AMD /BREGUET AVIATION;ML LUBRIFICATION
AMERICAN TECHNICAL CERAMICS;SAFRAN AEROTECHNICS
AMPHENOL AIR LB;AMPHENOL
AMPHENOL SOCAPEX;AMPHENOL
AMS Technologies;CML Innovative Technologies
ANDERSON;ANDEROL
ANGST PFISTER SA;HANGSTERFERS
AOIP;ATP
APD SEMICONDUCTOR;QP SEMICONDUCTOR
APEM (MORS);APEM
APERAM STAINLESS PRECISION;AERO STANREW LTD
APPH (BOSTON) LTD;AERO STANREW LTD
APT;ATP
APX;ATP
APX SARL;FILP SRL
ARCANE INDUSTRIES;CRC INDUSTRIES
ARCEL;ACCEL
ARCOL UK LIMITED;AIR LIQUIDE
ARCONIC  FASTENING SYSTEMS;SAFRAN LANDING SYSTEMS
ARCONIC FIXATIONS SIMMONDS SAS;STANFORD TELECOMMUNICATIONS INC
ARCONIC GLOBAL FASTENERS & RINGS;TR FASTENINGS
