taes_number;HDLSChematicSymbol;AllegroFootprintAltSymbols
5270010015AA;AM29LV01X56;PDSO-G56_003_VR;PDSO-G56_003_VR,PDSO-G56_003_HR,PDSO-G56_003_R
91772541;AM29F400X;PDSO-G48_006_VR;PDSO-G48_006_VR,PDSO-G48_006_HR,PDSO-G48_006_R
91779960;AM29F800X;PDSO-G44_002_VR;PDSO-G44_002_VR,PDSO-G44_002_HR,PDSO-G44_002_R
91790341;AM29LV160X;PDSO-G48_006_VR;PDSO-G48_006_VR,PDSO-G48_006_HR,PDSO-G48_006_R
91791297;AA10180;PDSO-G16_018_VR;PDSO-G16_018_VR,PDSO-G16_018_HR,PDSO-G16_018_R,PDSO-G16_018_SPESR_VR,PDSO-G16_018_SPESR_R
91796162;AM29LV160X;PDSO-G48_006_VR;PDSO-G48_006_VR,PDSO-G48_006_HR,PDSO-G48_006_R
91802472;AM29LV010B;PQCC-J32_004_R;PQCC-J32_004_R
91804278;AM29LV320DB;PDSO-G48_006_VR;PDSO-G48_006_VR,PDSO-G48_006_HR,PDSO-G48_006_R
91805321;AA10280;PDSO-G16_018_VR;PDSO-G16_018_VR,PDSO-G16_018_HR,PDSO-G16_018_R,PDSO-G16_018_SPESR_VR,PDSO-G16_018_SPESR_R
91805966;AA10U_5S;MBIP-P4-5_001;MBIP-P4-5_001
91817168;AM29LV256BGA64;PBGA-B64_004_R;PBGA-B64_004_R
91820300;AM29LV256MX56;PDSO-G56_003_VR;PDSO-G56_003_VR,PDSO-G56_003_HR,PDSO-G56_003_R
91823437;AM29LV256MX56;PDSO-G56_003_VR;PDSO-G56_003_VR,PDSO-G56_003_HR,PDSO-G56_003_R
91823523;AM29LV160X;PDSO-G48_006_VR;PDSO-G48_006_VR,PDSO-G48_006_HR,PDSO-G48_006_R
91823731;AM29LV400BBGA48;PBGA-B48_011_R;PBGA-B48_011_R
91825423;AM29LV400BDSO48;PDSO-G48_006_VR;PDSO-G48_006_VR,PDSO-G48_006_HR,PDSO-G48_006_R
91915980;AAT1161;PDSO-N14-N1_004_VR;PDSO-N14-N1_004_VR,PDSO-N14-N1_004_HR,PDSO-N14-N1_004_R
91915982;AAT4285;PDSO-N8_025_VR;PDSO-N8_025_VR,PDSO-N8_025_HR,PDSO-N8_025_R
99205797;AM29F400X;PDSO-G48_006_VR;PDSO-G48_006_VR,PDSO-G48_006_HR,PDSO-G48_006_R
99205798;AM29F400X;PDSO-G48_006_VR;PDSO-G48_006_VR,PDSO-G48_006_HR,PDSO-G48_006_R
99206405;AM29F400X;PDSO-G48_006_VR;PDSO-G48_006_VR,PDSO-G48_006_HR,PDSO-G48_006_R
99207333;AM29F800BXXE_DSO48;PDSO-G48_006_VR;PDSO-G48_006_VR,PDSO-G48_006_HR,PDSO-G48_006_R
99207859;AM29LV200;PDSO-G48_006_VR;PDSO-G48_006_VR,PDSO-G48_006_HR,PDSO-G48_006_R
99208070;AM29F800X;PDSO-G48_006_VR;PDSO-G48_006_VR,PDSO-G48_006_HR,PDSO-G48_006_R
99208210;AM29F800X;PDSO-G48_006_VR;PDSO-G48_006_VR,PDSO-G48_006_HR,PDSO-G48_006_R
99208711;AM29LV160X;PDSO-G48_006_VR;PDSO-G48_006_VR,PDSO-G48_006_HR,PDSO-G48_006_R
99209316;AM29F400X;PDSO-G48_006_VR;PDSO-G48_006_VR,PDSO-G48_006_HR,PDSO-G48_006_R
99209462;AM29F400X;PDSO-G48_006_VR;PDSO-G48_006_VR,PDSO-G48_006_HR,PDSO-G48_006_R
99210380;AM29F800X;PDSO-G48_006_VR;PDSO-G48_006_VR,PDSO-G48_006_HR,PDSO-G48_006_R
99211130;AM29LV160D;PBGA-B48_001_R;PBGA-B48_001_R
99211505;AM29LV160X;PBGA-B48_001_R;PBGA-B48_001_R
99213036;AM29LV160X;PBGA-B48_001_R;PBGA-B48_001_R
99215250;AM29F800X;PDSO-G48_006_VR;PDSO-G48_006_VR,PDSO-G48_006_HR,PDSO-G48_006_R
99216309;AM29LV128BGA64;PBGA-B64_003_R;PBGA-B64_003_R
99217095;AM29LV400BDSO48;PDSO-G48_006_VR;PDSO-G48_006_VR,PDSO-G48_006_HR,PDSO-G48_006_R
99217955;AM29LV128BGA64;PBGA-B64_003_R;PBGA-B64_003_R
99219823;AM29F800X;PDSO-G48_006_VR;PDSO-G48_006_VR,PDSO-G48_006_HR,PDSO-G48_006_R
